# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
2.400000000000000000e+01,5.400000000000000000e+02,6.581000000000000227e+02,9.643999999999999773e+02,5.777999999999999545e+02,1.335928000000000000e+06,1.039000000000000000e+03,1.159990000000000077e+00,4.129179999999999851e+00,4.703140000000000320e+00,4.782269999999999577e+00,9.755000000000000338e-01,1.392400000000000082e+00,2.154539999999999900e+00,9.631899999999999906e-01,6.629999999999999609e-04,5.300000000000000024e-03,6.470000000000000057e-04,5.158689999999999998e+00,2.310268000000000210e+00,1.171399999999999959e-03,1.186399999999999998e-03,1.171399999999999959e-03,1.186399999999999998e-03,2.729999999999999788e-03,4.580000000000000182e-01
2.500000000000000000e+01,5.400000000000000000e+02,6.413999999999999773e+02,9.627000000000000455e+02,5.726000000000000227e+02,1.307324000000000000e+06,1.014000000000000000e+03,1.138209999999999944e+00,4.152569999999999872e+00,4.651030000000000442e+00,4.744299999999999962e+00,1.025600000000000067e+00,1.392200000000000104e+00,1.918239999999999945e+00,1.079960000000000031e+00,6.740000000000000114e-04,5.400000000000000286e-03,6.909999999999999910e-04,5.158689999999999998e+00,2.310268000000000210e+00,1.171399999999999959e-03,1.186399999999999998e-03,1.171399999999999959e-03,1.186399999999999998e-03,2.729999999999999788e-03,4.580000000000000182e-01
2.600000000000000000e+01,5.400000000000000000e+02,5.805000000000000000e+02,9.563999999999999773e+02,5.532999999999999545e+02,1.186940000000000000e+06,9.150000000000000000e+02,1.056599999999999984e+00,4.254290000000000127e+00,4.463180000000000369e+00,4.599529999999999674e+00,1.231899999999999995e+00,1.391899999999999915e+00,9.316299999999999581e-01,1.628249999999999975e+00,7.209999999999999612e-04,6.000000000000000125e-03,8.880000000000000089e-04,5.158689999999999998e+00,2.310268000000000210e+00,1.171399999999999959e-03,1.186399999999999998e-03,1.171399999999999959e-03,1.186399999999999998e-03,2.729999999999999788e-03,4.580000000000000182e-01
2.700000000000000000e+01,5.400000000000000000e+02,5.083999999999999773e+02,9.488999999999999773e+02,5.292999999999999545e+02,1.021161000000000000e+06,8.120000000000000000e+02,9.542800000000000171e-01,4.378459999999999575e+00,4.205020000000000202e+00,4.392559999999999576e+00,1.538499999999999979e+00,1.391000000000000014e+00,4.431700000000000084e-01,1.832130000000000036e+00,8.220000000000000310e-04,7.300000000000000065e-03,1.263999999999999933e-03,5.158689999999999998e+00,2.310268000000000210e+00,1.171399999999999959e-03,1.186399999999999998e-03,1.171399999999999959e-03,1.186399999999999998e-03,2.729999999999999788e-03,4.580000000000000182e-01
2.800000000000000000e+01,5.400000000000000000e+02,4.601000000000000227e+02,9.437999999999999545e+02,5.125000000000000000e+02,9.023960000000000000e+05,7.520000000000000000e+02,8.818500000000000227e-01,4.460619999999999585e+00,4.004369999999999763e+00,4.230839999999999712e+00,1.796000000000000041e+00,1.389799999999999924e+00,6.216599999999999904e-01,1.536319999999999908e+00,9.319999999999999942e-04,8.600000000000000006e-03,1.673000000000000008e-03,5.158689999999999998e+00,2.310268000000000210e+00,1.171399999999999959e-03,1.186399999999999998e-03,1.171399999999999959e-03,1.186399999999999998e-03,2.729999999999999788e-03,4.580000000000000182e-01
2.900000000000000000e+01,5.400000000000000000e+02,4.210000000000000000e+02,9.397999999999999545e+02,4.983999999999999773e+02,8.042600000000000000e+05,6.970000000000000000e+02,8.205099999999999616e-01,4.545200000000000351e+00,3.839370000000000172e+00,4.077510000000000190e+00,2.047699999999999854e+00,1.388900000000000023e+00,5.688800000000000523e-01,1.446839999999999904e+00,1.039999999999999909e-03,1.000000000000000021e-02,2.131000000000000082e-03,5.158689999999999998e+00,2.310268000000000210e+00,1.171399999999999959e-03,1.186399999999999998e-03,1.171399999999999959e-03,1.186399999999999998e-03,2.729999999999999788e-03,4.580000000000000182e-01
3.000000000000000000e+01,5.400000000000000000e+02,3.873999999999999773e+02,9.362999999999999545e+02,4.858000000000000114e+02,7.199410000000000000e+05,6.540000000000000000e+02,7.657699999999999507e-01,4.617079999999999629e+00,3.681789999999999896e+00,3.905600000000000183e+00,2.303500000000000103e+00,1.387699999999999934e+00,4.346200000000000063e-01,1.444819999999999993e+00,1.168999999999999900e-03,1.170000000000000033e-02,2.691999999999999948e-03,5.158689999999999998e+00,2.310268000000000210e+00,1.171399999999999959e-03,1.186399999999999998e-03,1.171399999999999959e-03,1.186399999999999998e-03,2.729999999999999788e-03,4.580000000000000182e-01
3.100000000000000000e+01,5.400000000000000000e+02,3.580000000000000000e+02,9.332000000000000455e+02,4.743999999999999773e+02,6.470780000000000000e+05,6.180000000000000000e+02,7.163100000000000023e-01,4.682509999999999728e+00,3.533910000000000107e+00,3.727059999999999818e+00,2.565300000000000136e+00,1.386400000000000077e+00,2.878299999999999748e-01,1.485419999999999963e+00,1.314000000000000064e-03,1.370000000000000037e-02,3.370000000000000166e-03,5.391969999999999708e+00,4.953632999999999953e+00,3.599399999999999995e-03,3.705500000000000026e-03,3.599399999999999995e-03,3.705500000000000026e-03,1.807999999999999885e-02,1.957999999999999963e+00
3.200000000000000000e+01,5.400000000000000000e+02,3.323000000000000114e+02,9.306000000000000227e+02,4.641000000000000227e+02,5.843160000000000000e+05,5.910000000000000000e+02,6.716199999999999948e-01,4.736460000000000115e+00,3.391680000000000028e+00,3.546300000000000008e+00,2.831599999999999895e+00,1.384900000000000020e+00,1.548400000000000054e-01,1.543739999999999890e+00,1.482000000000000027e-03,1.609999999999999973e-02,4.194999999999999944e-03,5.391969999999999708e+00,4.953632999999999953e+00,3.599399999999999995e-03,3.705500000000000026e-03,3.599399999999999995e-03,3.705500000000000026e-03,1.807999999999999885e-02,1.957999999999999963e+00
3.300000000000000000e+01,5.400000000000000000e+02,3.098000000000000114e+02,9.282000000000000455e+02,4.548000000000000114e+02,5.302280000000000000e+05,5.710000000000000000e+02,6.312100000000000488e-01,4.779349999999999987e+00,3.255209999999999937e+00,3.375189999999999912e+00,3.101300000000000168e+00,1.383299999999999974e+00,5.653999999999999998e-02,1.592899999999999983e+00,1.675000000000000057e-03,1.890000000000000013e-02,5.193999999999999832e-03,5.391969999999999708e+00,4.953632999999999953e+00,3.599399999999999995e-03,3.705500000000000026e-03,3.599399999999999995e-03,3.705500000000000026e-03,1.807999999999999885e-02,1.957999999999999963e+00
