# X_IN,Y_IN,DY_over_DX,ANGLE,D2Y_over_DX2
1.430000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.440000000000000036e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.450000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.459999999999999964e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.469999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.480000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.490000000000000036e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.500000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.509999999999999964e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.519999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.530000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.540000000000000036e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.550000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.559999999999999964e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.569999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.580000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.590000000000000036e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.600000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.610000000000000142e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.619999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.630000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.639999999999999858e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.650000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.660000000000000142e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.669999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.680000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.689999999999999858e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.700000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.710000000000000142e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.719999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.730000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.739999999999999858e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.750000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.760000000000000142e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.769999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.780000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.789999999999999858e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.800000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
