# POINT,X,Y_CALC,Y_IN,DIFF,POINT1
5.600000000000000000e+01,3.381234649999999675e+01,4.996827699999999872e+00,4.996827699999999872e+00,0.000000000000000000e+00,5.600000000000000000e+01
5.700000000000000000e+01,3.443359420000000171e+01,4.998212900000000403e+00,4.998212900000000403e+00,0.000000000000000000e+00,5.700000000000000000e+01
5.800000000000000000e+01,3.500801609999999897e+01,4.999054199999999781e+00,4.999054199999999781e+00,0.000000000000000000e+00,5.800000000000000000e+01
5.900000000000000000e+01,3.554242409999999808e+01,4.999538900000000119e+00,4.999538900000000119e+00,0.000000000000000000e+00,5.900000000000000000e+01
6.000000000000000000e+01,3.604372750000000281e+01,4.999799499999999952e+00,4.999799499999999952e+00,0.000000000000000000e+00,6.000000000000000000e+01
6.100000000000000000e+01,3.651888129999999677e+01,4.999926099999999707e+00,4.999926099999999707e+00,0.000000000000000000e+00,6.100000000000000000e+01
6.200000000000000000e+01,3.697480970000000156e+01,4.999979100000000010e+00,4.999979100000000010e+00,0.000000000000000000e+00,6.200000000000000000e+01
6.300000000000000000e+01,3.741829560000000043e+01,4.999996200000000002e+00,4.999996200000000002e+00,0.000000000000000000e+00,6.300000000000000000e+01
6.400000000000000000e+01,3.785577070000000077e+01,4.999999700000000047e+00,4.999999700000000047e+00,0.000000000000000000e+00,6.400000000000000000e+01
6.500000000000000000e+01,3.829287080000000287e+01,5.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+01
