# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
2.400000000000000000e+01,1.271730000000000083e-01,1.408600000000000130e-01,6.589000000000000239e-04,1.415189000000000030e-01,1.800077999999999956e-01,1.595357700000000101e+00,4.200699999999999920e-03,1.842083999999999944e-01,1.611582800000000093e+00,5.519415000000000404e+00,2.312599999999999933e-01,-7.006999999999999895e-01
2.500000000000000000e+01,1.378409999999999913e-01,1.428730000000000000e-01,7.064000000000000400e-04,1.435790999999999873e-01,1.964614000000000082e-01,1.486343100000000028e+00,4.808500000000000274e-03,2.012697999999999987e-01,1.672110200000000102e+00,5.858835000000000015e+00,2.112799999999999956e-01,-7.401200000000000001e-01
2.600000000000000000e+01,1.732130000000000059e-01,1.507350000000000079e-01,9.177000000000000261e-04,1.516530000000000100e-01,2.424573999999999896e-01,1.169478100000000076e+00,6.602499999999999862e-03,2.490599000000000007e-01,1.901016500000000109e+00,6.097819499999999948e+00,1.490100000000000036e-01,-7.619899999999999451e-01
2.700000000000000000e+01,2.271110000000000073e-01,1.654599999999999960e-01,1.325299999999999959e-03,1.667851999999999946e-01,2.947417999999999982e-01,8.038790000000000102e-01,7.226999999999999917e-03,3.019687999999999817e-01,2.198996199999999845e+00,4.563868000000000258e+00,9.366900000000000226e-02,-5.900300000000000544e-01
2.800000000000000000e+01,2.931250000000000244e-01,1.866589999999999916e-01,1.775199999999999998e-03,1.884346000000000076e-01,3.343726000000000198e-01,4.228546000000000249e-01,6.663999999999999785e-03,3.410366000000000231e-01,2.422274900000000120e+00,3.024468600000000063e+00,6.606199999999999573e-02,-4.129499999999999837e-01
2.900000000000000000e+01,3.698930000000000273e-01,2.135100000000000053e-01,2.273400000000000074e-03,2.157835999999999921e-01,3.509902999999999773e-01,9.404930000000000234e-02,6.641799999999999787e-03,3.576321000000000083e-01,2.622515100000000210e+00,2.400572200000000045e+00,4.839999999999999858e-02,-3.445300000000000029e-01
3.000000000000000000e+01,4.575469999999999815e-01,2.443980000000000041e-01,2.870800000000000175e-03,2.472690999999999917e-01,3.469819000000000098e-01,-1.153319000000000011e-01,6.952899999999999706e-03,3.539346999999999910e-01,2.812134599999999818e+00,2.011250200000000099e+00,3.617200000000000276e-02,-3.086499999999999799e-01
3.100000000000000000e+01,5.565539999999999932e-01,2.781480000000000063e-01,3.574499999999999986e-03,2.817220999999999753e-01,3.277796000000000043e-01,-2.312865000000000060e-01,7.329300000000000398e-03,3.351088999999999873e-01,2.994261900000000143e+00,1.716629299999999914e+00,2.745900000000000077e-02,-2.840599999999999792e-01
3.200000000000000000e+01,6.674160000000000093e-01,3.128600000000000270e-01,4.414600000000000295e-03,3.172745000000000148e-01,2.975036999999999821e-01,-2.670648999999999940e-01,7.876899999999999180e-03,3.053804999999999992e-01,3.169313600000000175e+00,1.479573100000000085e+00,2.116300000000000125e-02,-2.667999999999999816e-01
3.300000000000000000e+01,7.904449999999999532e-01,3.473300000000000276e-01,5.424499999999999635e-03,3.527549999999999852e-01,2.654701999999999895e-01,-2.398038000000000114e-01,8.529300000000000076e-03,2.739995000000000069e-01,3.337769000000000208e+00,1.286393700000000084e+00,1.654500000000000068e-02,-2.543300000000000005e-01
3.400000000000000000e+01,9.257330000000000281e-01,3.810569999999999791e-01,6.626100000000000219e-03,3.876827999999999941e-01,2.360877000000000114e-01,-1.993353999999999959e-01,9.190300000000000205e-03,2.452780999999999989e-01,3.499478499999999936e+00,1.125038699999999947e+00,1.312100000000000072e-02,-2.443299999999999916e-01
3.500000000000000000e+01,1.073072999999999944e+00,4.137230000000000074e-01,8.029700000000000726e-03,4.217525999999999775e-01,2.095819999999999905e-01,-1.654209000000000096e-01,9.821399999999999228e-03,2.194033999999999984e-01,3.653966800000000070e+00,9.885374000000000105e-01,1.055700000000000041e-02,-2.356499999999999984e-01
3.600000000000000000e+01,1.231897999999999938e+00,4.449339999999999962e-01,9.640100000000000405e-03,4.545741999999999838e-01,1.857871000000000106e-01,-1.394120000000000081e-01,1.041189999999999997e-02,1.961989000000000094e-01,3.800702699999999989e+00,8.722195999999999838e-01,8.620700000000000238e-03,-2.277399999999999980e-01
3.700000000000000000e+01,1.401254999999999917e+00,4.744610000000000216e-01,1.145260000000000028e-02,4.859140000000000126e-01,1.640560000000000074e-01,-1.217338000000000031e-01,1.095179999999999938e-02,1.750077999999999911e-01,3.939089200000000179e+00,7.719169000000000169e-01,7.145600000000000215e-03,-2.200699999999999878e-01
3.800000000000000000e+01,1.579865999999999993e+00,5.018249999999999655e-01,1.345569999999999926e-02,5.152801999999999660e-01,1.435528000000000082e-01,-1.081627000000000005e-01,1.145069999999999942e-02,1.550034000000000134e-01,4.068445099999999925e+00,6.850222000000000255e-01,6.014099999999999654e-03,-2.125299999999999967e-01
3.900000000000000000e+01,1.766032000000000046e+00,5.266769999999999508e-01,1.563319999999999987e-02,5.423105000000000286e-01,1.247029999999999944e-01,-9.541479999999999406e-02,1.190309999999999979e-02,1.366061000000000081e-01,4.188364400000000209e+00,6.093543000000000154e-01,5.139200000000000018e-03,-2.049600000000000033e-01
4.000000000000000000e+01,1.957872999999999974e+00,5.488619999999999610e-01,1.795750000000000124e-02,5.668193999999999733e-01,1.075524999999999953e-01,-8.455379999999999840e-02,1.229360000000000001e-02,1.198460999999999971e-01,4.298384800000000006e+00,5.430580000000000407e-01,4.458700000000000337e-03,-1.972500000000000087e-01
4.100000000000000000e+01,2.153200000000000003e+00,5.682610000000000161e-01,2.039420000000000122e-02,5.886554000000000508e-01,9.200060000000000182e-02,-7.499039999999999873e-02,1.261810000000000015e-02,1.046186999999999950e-01,4.398405200000000015e+00,4.848759000000000263e-01,3.925500000000000170e-03,-1.893799999999999928e-01
4.200000000000000000e+01,2.349822000000000077e+00,5.849020000000000330e-01,2.290350000000000025e-02,6.078059000000000101e-01,7.817209999999999437e-02,-6.621760000000000146e-02,1.286769999999999928e-02,9.103990000000000693e-02,4.488360700000000314e+00,4.334703999999999779e-01,3.505799999999999889e-03,-1.812600000000000044e-01
4.300000000000000000e+01,2.545463999999999949e+00,5.989379999999999704e-01,2.544149999999999884e-02,6.243796000000000346e-01,6.601769999999999861e-02,-5.872829999999999717e-02,1.303799999999999924e-02,7.905570000000000652e-02,4.568487099999999579e+00,3.880986000000000158e-01,3.173500000000000106e-03,-1.729700000000000126e-01
4.400000000000000000e+01,2.737991000000000064e+00,6.105639999999999956e-01,2.796409999999999868e-02,6.385279000000000371e-01,5.535459999999999686e-02,-5.251929999999999793e-02,1.312840000000000014e-02,6.848310000000000508e-02,4.639141099999999796e+00,3.477695000000000092e-01,2.909300000000000080e-03,-1.644500000000000128e-01
4.500000000000000000e+01,2.925459000000000032e+00,6.200229999999999908e-01,3.042999999999999872e-02,6.504528000000000532e-01,4.603199999999999653e-02,-4.721399999999999902e-02,1.314240000000000026e-02,5.917440000000000200e-02,4.700829699999999889e+00,3.118158999999999792e-01,2.698499999999999944e-03,-1.557399999999999896e-01
4.600000000000000000e+01,3.106181999999999999e+00,6.275709999999999900e-01,3.280310000000000170e-02,6.603740999999999639e-01,3.793760000000000188e-02,-4.245399999999999868e-02,1.308450000000000064e-02,5.102210000000000079e-02,4.754177199999999992e+00,2.796589999999999909e-01,2.529800000000000017e-03,-1.468800000000000106e-01
4.700000000000000000e+01,3.278782999999999781e+00,6.334880000000000511e-01,3.505380000000000301e-02,6.685415999999999581e-01,3.099489999999999884e-02,-3.813659999999999967e-02,1.295830000000000072e-02,4.395319999999999783e-02,4.799886500000000389e+00,2.507823000000000135e-01,2.394600000000000201e-03,-1.379100000000000048e-01
4.800000000000000000e+01,3.442223999999999950e+00,6.380449999999999733e-01,3.715910000000000046e-02,6.752042999999999795e-01,2.508490000000000025e-02,-3.427460000000000229e-02,1.276739999999999993e-02,3.785229999999999845e-02,4.838701000000000363e+00,2.246885000000000132e-01,2.285999999999999838e-03,-1.288300000000000001e-01
4.900000000000000000e+01,3.595816999999999819e+00,6.414940000000000087e-01,3.910369999999999818e-02,6.805976999999999721e-01,2.009270000000000153e-02,-3.078130000000000102e-02,1.251769999999999966e-02,3.261039999999999772e-02,4.871364699999999992e+00,2.009708000000000050e-01,2.198900000000000160e-03,-1.196600000000000025e-01
5.000000000000000000e+01,3.739186999999999816e+00,6.440590000000000481e-01,4.087919999999999748e-02,6.849378999999999884e-01,1.590990000000000112e-02,-2.758729999999999863e-02,1.221460000000000080e-02,2.812450000000000019e-02,4.898613000000000106e+00,1.792658000000000029e-01,2.129100000000000090e-03,-1.104300000000000004e-01
5.100000000000000000e+01,3.872259999999999813e+00,6.459319999999999506e-01,4.248369999999999924e-02,6.884152000000000049e-01,1.243479999999999933e-02,-2.463380000000000083e-02,1.186330000000000023e-02,2.429819999999999897e-02,4.921135800000000060e+00,1.592442000000000024e-01,2.073199999999999869e-03,-1.011399999999999938e-01
5.200000000000000000e+01,3.995206000000000035e+00,6.472740000000000160e-01,4.392019999999999952e-02,6.911943999999999866e-01,9.574400000000000271e-03,-2.187139999999999918e-02,1.146879999999999948e-02,2.104320000000000149e-02,4.939577599999999791e+00,1.406219999999999970e-01,2.028700000000000035e-03,-9.178000000000000047e-02
5.300000000000000000e+01,4.108408999999999978e+00,6.482179999999999609e-01,4.519610000000000294e-02,6.934137999999999691e-01,7.243799999999999892e-03,-1.925920000000000062e-02,1.103529999999999962e-02,1.827909999999999952e-02,4.954519099999999732e+00,1.231344999999999940e-01,1.993400000000000206e-03,-8.234600000000000253e-02
5.400000000000000000e+01,4.212416000000000160e+00,6.488669999999999716e-01,4.632139999999999869e-02,6.951882000000000339e-01,5.367700000000000422e-03,-1.676410000000000053e-02,1.056670000000000005e-02,1.593429999999999847e-02,4.966479800000000111e+00,1.065865000000000007e-01,1.965600000000000073e-03,-7.284000000000000197e-02
5.500000000000000000e+01,4.307894000000000112e+00,6.493029999999999635e-01,4.730809999999999876e-02,6.966107999999999745e-01,3.878799999999999956e-03,-1.436549999999999980e-02,1.007070000000000014e-02,1.394950000000000009e-02,4.975919099999999595e+00,9.083449999999999858e-02,1.943999999999999981e-03,-6.328400000000000691e-02
5.600000000000000000e+01,4.395604999999999762e+00,6.495880000000000543e-01,4.817010000000000042e-02,6.977577000000000362e-01,2.717699999999999977e-03,-1.205430000000000043e-02,9.554999999999999258e-03,1.227269999999999923e-02,4.983239400000000430e+00,7.580190000000000539e-02,1.927399999999999903e-03,-5.372600000000000292e-02
5.700000000000000000e+01,4.476366999999999763e+00,6.497680000000000122e-01,4.892149999999999971e-02,6.986892000000000102e-01,1.832199999999999974e-03,-9.835299999999999945e-03,9.025599999999999942e-03,1.085780000000000078e-02,4.988791899999999835e+00,6.149749999999999661e-02,1.914899999999999979e-03,-4.426100000000000173e-02
5.800000000000000000e+01,4.551041999999999810e+00,6.498770000000000380e-01,4.957629999999999676e-02,6.994534000000000029e-01,1.175700000000000009e-03,-7.730400000000000119e-03,8.496899999999999939e-03,9.672599999999999948e-03,4.992883400000000194e+00,4.802979999999999750e-02,1.905800000000000029e-03,-3.504700000000000176e-02
5.900000000000000000e+01,4.620515000000000150e+00,6.499399999999999622e-01,5.014899999999999913e-02,7.000891000000000197e-01,7.071999999999999511e-04,-5.777700000000000197e-03,7.987499999999999808e-03,8.694699999999999651e-03,4.995783199999999979e+00,3.562300000000000189e-02,1.899400000000000090e-03,-2.631899999999999865e-02
6.000000000000000000e+01,4.685685000000000322e+00,6.499740000000000517e-01,5.065390000000000170e-02,7.006278000000000228e-01,3.896999999999999856e-04,-4.032400000000000220e-03,7.517300000000000197e-03,7.907000000000000833e-03,4.997730699999999970e+00,2.459549999999999931e-02,1.894999999999999983e-03,-1.837799999999999850e-02
6.100000000000000000e+01,4.747455000000000425e+00,6.499899999999999567e-01,5.110479999999999884e-02,7.010952000000000295e-01,1.898000000000000056e-04,-2.556800000000000132e-03,7.108899999999999594e-03,7.298699999999999979e-03,4.998940300000000114e+00,1.532140000000000064e-02,1.892400000000000028e-03,-1.156899999999999942e-02
6.200000000000000000e+01,4.806725000000000136e+00,6.499970000000000470e-01,5.151529999999999998e-02,7.015126000000000417e-01,7.689999999999999896e-05,-1.410599999999999918e-03,6.783700000000000147e-03,6.860699999999999958e-03,4.999606100000000275e+00,8.162000000000000852e-03,1.890900000000000046e-03,-6.223600000000000139e-03
6.300000000000000000e+01,4.864378000000000313e+00,6.500000000000000222e-01,5.189839999999999731e-02,7.018978999999999635e-01,2.330000000000000053e-05,-6.302999999999999792e-04,6.556700000000000375e-03,6.579899999999999638e-03,4.999904500000000418e+00,3.347699999999999895e-03,1.890200000000000083e-03,-2.576600000000000071e-03
6.400000000000000000e+01,4.921249999999999680e+00,6.500000000000000222e-01,5.226630000000000165e-02,7.022663000000000100e-01,4.300000000000000335e-06,-2.046000000000000130e-04,6.428999999999999819e-03,6.433300000000000303e-03,4.999992400000000004e+00,8.396999999999999733e-04,1.890100000000000027e-03,-6.521399999999999463e-04
6.500000000000000000e+01,4.978073000000000192e+00,6.500000000000000222e-01,5.262939999999999979e-02,7.026293999999999595e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.348999999999999609e-03,6.348999999999999609e-03,5.000000000000000000e+00,0.000000000000000000e+00,1.889999999999999970e-03,-0.000000000000000000e+00
