# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
5.500000000000000000e+01,3.312815799999999911e+01,4.993205800000000139e+00,4.993234499999999798e+00,9.245623750000000030e+01,1.356143340000000030e+01,2.405650999999999970e-03,2.405650000000000063e-03,1.675810999999999924e-03
5.600000000000000000e+01,3.380266170000000159e+01,4.995396500000000017e+00,4.995419000000000054e+00,9.621832840000000431e+01,1.383606359999999924e+01,2.361845000000000003e-03,2.361844000000000096e-03,1.642732999999999954e-03
5.700000000000000000e+01,3.442373150000000237e+01,4.996781300000000314e+00,4.996799199999999885e+00,9.974944109999999853e+01,1.408896310000000085e+01,2.322831000000000028e-03,2.322830000000000120e-03,1.613358000000000066e-03
5.800000000000000000e+01,3.499798890000000284e+01,4.997622299999999740e+00,4.997635700000000014e+00,1.030716024000000033e+02,1.432282110000000053e+01,2.287833999999999875e-03,2.287833999999999875e-03,1.587073000000000043e-03
5.900000000000000000e+01,3.553224380000000338e+01,4.998106899999999797e+00,4.998116500000000073e+00,1.062116960000000034e+02,1.454040550000000032e+01,2.256165000000000080e-03,2.256165000000000080e-03,1.563338000000000054e-03
6.000000000000000000e+01,3.603340370000000092e+01,4.998367400000000238e+00,4.998374000000000095e+00,1.092005151999999981e+02,1.474452540000000056e+01,2.227208000000000052e-03,2.227208000000000052e-03,1.541679000000000009e-03
6.100000000000000000e+01,3.650842140000000313e+01,4.998493999999999993e+00,4.998497900000000271e+00,1.120720694999999978e+02,1.493800990000000084e+01,2.200408000000000051e-03,2.200408000000000051e-03,1.521671000000000048e-03
6.200000000000000000e+01,3.696421920000000227e+01,4.998546900000000015e+00,4.998549299999999640e+00,1.148627917999999966e+02,1.512367629999999963e+01,2.175263000000000196e-03,2.175263000000000196e-03,1.502936000000000072e-03
6.300000000000000000e+01,3.740757800000000088e+01,4.998564100000000288e+00,4.998564899999999867e+00,1.176105744000000044e+02,1.530428530000000009e+01,2.151324999999999939e-03,2.151324999999999939e-03,1.485135999999999965e-03
6.400000000000000000e+01,3.784492780000000067e+01,4.998567600000000333e+00,4.998568099999999959e+00,1.203532134999999954e+02,1.548245550000000037e+01,2.128197999999999982e-03,2.128197999999999982e-03,1.467977999999999991e-03
6.500000000000000000e+01,3.828190270000000339e+01,4.998567900000000286e+00,4.998567900000000286e+00,1.231253396000000038e+02,1.566048140000000011e+01,2.105561000000000151e-03,2.105561000000000151e-03,1.451222000000000059e-03
